"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","late_aircraft_ct","arr_delay","security_ct"
"131",0,9,"DL","Delta Air Lines Inc.","LAS","Las Vegas, NV: McCarran International",1053,88,34.51,1.49,39.77,12.23,5449,0
"132",0,9,"DL","Delta Air Lines Inc.","LAX","Los Angeles, CA: Los Angeles International",2639,256,86.3,8.24,120.84,40.63,14024,0
"133",0,9,"DL","Delta Air Lines Inc.","ORD","Chicago, IL: Chicago O'Hare International",701,64,21.69,3.15,28.76,10.4,3213,0
"134",0,9,"DL","Delta Air Lines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",503,45,18.55,2,20.1,4.35,2227,0
"135",0,9,"DL","Delta Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",1096,207,32.67,1.92,154.57,17.85,11205,0
"136",0,9,"EV","ExpressJet Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",1971,173,57.82,0,28.24,86.94,16312,0
"137",0,9,"EV","ExpressJet Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",180,37,17.42,0,10.34,9.24,2149,0
"138",0,9,"EV","ExpressJet Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",937,99,32.21,0,17.94,48.85,6902,0
"139",0,9,"EV","ExpressJet Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",3294,301,53.55,6.45,148.56,92.44,22096,0
"140",0,9,"EV","ExpressJet Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",1663,174,22.56,7.49,70.95,73,14637,0
"141",0,9,"F9","Frontier Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",270,28,9.46,0.86,10.84,6.84,1884,0
"142",0,9,"F9","Frontier Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",78,9,4.84,0.46,1.05,2.65,596,0
"143",0,9,"F9","Frontier Airlines Inc.","DEN","Denver, CO: Denver International",1900,201,48.8,0.46,63.24,88.49,14051,0
"144",0,9,"F9","Frontier Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",50,10,3.32,0.24,5.05,1.38,365,0
"145",0,9,"F9","Frontier Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",125,17,4.2,0,10.79,2.01,1016,0
"146",0,9,"F9","Frontier Airlines Inc.","LAS","Las Vegas, NV: McCarran International",709,118,20.87,0.02,48.16,48.95,8068,0
"147",0,9,"F9","Frontier Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",196,23,4.77,0.23,9.26,8.74,1233,0
"148",0,9,"F9","Frontier Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",240,35,10.89,0.28,13.31,10.52,1724,0
"149",0,9,"F9","Frontier Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",174,8,5.07,0,0.91,2.02,753,0
"150",0,9,"F9","Frontier Airlines Inc.","SFO","San Francisco, CA: San Francisco International",182,41,8.26,0,23.36,9.38,3423,0
"151",0,9,"HA","Hawaiian Airlines Inc.","LAS","Las Vegas, NV: McCarran International",75,2,2,0,0,0,141,0
"152",0,9,"HA","Hawaiian Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",153,30,25.49,0,0,3.7,1245,0.81
"153",0,9,"HA","Hawaiian Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",30,3,2.02,0,0,0.98,113,0
"154",0,9,"HA","Hawaiian Airlines Inc.","SFO","San Francisco, CA: San Francisco International",60,8,6,1,0,1,296,0
"155",0,9,"NK","Spirit Air Lines","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",614,81,21.84,2.85,37.18,18.84,5526,0.29
"156",0,9,"NK","Spirit Air Lines","DEN","Denver, CO: Denver International",297,45,16.35,0,16.63,12.01,2611,0
"157",0,9,"NK","Spirit Air Lines","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",743,98,30.74,3.25,40.29,21.85,8971,1.87
"158",0,9,"NK","Spirit Air Lines","IAH","Houston, TX: George Bush Intercontinental/Houston",600,89,23.35,0,38.7,26.51,5288,0.44
"159",0,9,"NK","Spirit Air Lines","LAS","Las Vegas, NV: McCarran International",1027,149,38.17,2.92,52.92,54.99,11380,0
"160",0,9,"NK","Spirit Air Lines","LAX","Los Angeles, CA: Los Angeles International",785,102,39.86,0.63,27.26,34.25,7045,0
"161",0,9,"NK","Spirit Air Lines","ORD","Chicago, IL: Chicago O'Hare International",807,127,40.12,1.58,46.97,36.89,7577,1.43
